	Pathway	Name	Parent	Category1	Category2	Category3	Category4	Category5	Category6	Category7
1.3.1.93	PWY-7049	icosapentaenoate biosynthesis II (6-desaturase, mammals)	Eicosapentaenoate-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	Unsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Icosapentaenoate Biosynthesis	Icosapentaenoate Biosynthesis
1.1.1.330	PWY-7049	icosapentaenoate biosynthesis II (6-desaturase, mammals)	Eicosapentaenoate-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	Unsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Icosapentaenoate Biosynthesis	Icosapentaenoate Biosynthesis
2.6.1.2	ALACAT2-PWY	L-alanine degradation II (to D-lactate)	ALANINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-alanine Degradation	L-alanine Degradation	L-alanine Degradation	L-alanine Degradation
1.1.1.28	ALACAT2-PWY	L-alanine degradation II (to D-lactate)	ALANINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-alanine Degradation	L-alanine Degradation	L-alanine Degradation	L-alanine Degradation
1.4.1.2	ALACAT2-PWY	L-alanine degradation II (to D-lactate)	ALANINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-alanine Degradation	L-alanine Degradation	L-alanine Degradation	L-alanine Degradation
2.6.1.2	ALANINE-DEG3-PWY	L-alanine degradation III	ALANINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-alanine Degradation	L-alanine Degradation	L-alanine Degradation	L-alanine Degradation
2.6.1.2	ALANINE-SYN2-PWY	L-alanine biosynthesis II	ALANINE-SYN	Biosynthesis	Amino Acids Biosynthesis	Proteinogenic Amino Acids Biosynthesis	L-alanine Biosynthesis	L-alanine Biosynthesis	L-alanine Biosynthesis	L-alanine Biosynthesis
2.5.1.62	PWY-5064	chlorophyll a biosynthesis II	Chlorophyll-a-Biosynthesis	Biosynthesis	Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis	Porphyrin Compounds Biosynthesis	Chlorophyll Biosynthesis	Chlorophyll a Biosynthesis	Chlorophyll a Biosynthesis	Chlorophyll a Biosynthesis
1.3.1.75	PWY-5064	chlorophyll a biosynthesis II	Chlorophyll-a-Biosynthesis	Biosynthesis	Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis	Porphyrin Compounds Biosynthesis	Chlorophyll Biosynthesis	Chlorophyll a Biosynthesis	Chlorophyll a Biosynthesis	Chlorophyll a Biosynthesis
1.14.13.22	CYCLOHEXANOL-OXIDATION-PWY	cyclohexanol degradation	Alcohol-Degradation	Degradation/Utilization/Assimilation	Alcohols Degradation	Alcohols Degradation	Alcohols Degradation	Alcohols Degradation	Alcohols Degradation	Alcohols Degradation
1.2.1.63	CYCLOHEXANOL-OXIDATION-PWY	cyclohexanol degradation	Alcohol-Degradation	Degradation/Utilization/Assimilation	Alcohols Degradation	Alcohols Degradation	Alcohols Degradation	Alcohols Degradation	Alcohols Degradation	Alcohols Degradation
1.1.1.245	CYCLOHEXANOL-OXIDATION-PWY	cyclohexanol degradation	Alcohol-Degradation	Degradation/Utilization/Assimilation	Alcohols Degradation	Alcohols Degradation	Alcohols Degradation	Alcohols Degradation	Alcohols Degradation	Alcohols Degradation
3.1.1.-	CYCLOHEXANOL-OXIDATION-PWY	cyclohexanol degradation	Alcohol-Degradation	Degradation/Utilization/Assimilation	Alcohols Degradation	Alcohols Degradation	Alcohols Degradation	Alcohols Degradation	Alcohols Degradation	Alcohols Degradation
1.1.1.258	CYCLOHEXANOL-OXIDATION-PWY	cyclohexanol degradation	Alcohol-Degradation	Degradation/Utilization/Assimilation	Alcohols Degradation	Alcohols Degradation	Alcohols Degradation	Alcohols Degradation	Alcohols Degradation	Alcohols Degradation
2.4.1.-	SOPHOROSYLOXYDOCOSANOATE-SYN-PWY	sophorolipid biosynthesis	Lipid-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis
1.14.13.-	SOPHOROSYLOXYDOCOSANOATE-SYN-PWY	sophorolipid biosynthesis	Lipid-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis
2.3.1.-	SOPHOROSYLOXYDOCOSANOATE-SYN-PWY	sophorolipid biosynthesis	Lipid-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis
1.14.13.205	SOPHOROSYLOXYDOCOSANOATE-SYN-PWY	sophorolipid biosynthesis	Lipid-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis
2.3.1.-	SOPHOROSYLOXYDOCOSANOATE-SYN-PWY	sophorolipid biosynthesis	Lipid-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis
2.4.1.-	SOPHOROSYLOXYDOCOSANOATE-SYN-PWY	sophorolipid biosynthesis	Lipid-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis
4.2.1.88	PWY-7431	aromatic biogenic amine degradation (bacteria)	AMINE-DEG	Degradation/Utilization/Assimilation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation
1.4.3.4	PWY-7431	aromatic biogenic amine degradation (bacteria)	AMINE-DEG	Degradation/Utilization/Assimilation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation
1.2.1.3	PWY-7431	aromatic biogenic amine degradation (bacteria)	AMINE-DEG	Degradation/Utilization/Assimilation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation
4.2.1.87	PWY-7431	aromatic biogenic amine degradation (bacteria)	AMINE-DEG	Degradation/Utilization/Assimilation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation
1.4.3.4	PWY-7431	aromatic biogenic amine degradation (bacteria)	AMINE-DEG	Degradation/Utilization/Assimilation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation
1.2.1.53	PWY-7431	aromatic biogenic amine degradation (bacteria)	AMINE-DEG	Degradation/Utilization/Assimilation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation
1.14.14.9	PWY-7431	aromatic biogenic amine degradation (bacteria)	AMINE-DEG	Degradation/Utilization/Assimilation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation
1.4.99.-	PWY-7431	aromatic biogenic amine degradation (bacteria)	AMINE-DEG	Degradation/Utilization/Assimilation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation
1.12.98.4	PWY-5364	sulfur reduction II (via polysulfide)	Sulfur-reduction	Degradation/Utilization/Assimilation	Inorganic Nutrients Metabolism	Sulfur Compounds Metabolism	Sulfur Reduction	Sulfur Reduction	Sulfur Reduction	Sulfur Reduction
2.4.1.168	PWY-5936	xyloglucan biosynthesis	Polysaccharides-Biosynthesis	Biosynthesis	Carbohydrates Biosynthesis	Polysaccharides Biosynthesis	Polysaccharides Biosynthesis	Polysaccharides Biosynthesis	Polysaccharides Biosynthesis	Polysaccharides Biosynthesis
2.4.1.-	PWY-5936	xyloglucan biosynthesis	Polysaccharides-Biosynthesis	Biosynthesis	Carbohydrates Biosynthesis	Polysaccharides Biosynthesis	Polysaccharides Biosynthesis	Polysaccharides Biosynthesis	Polysaccharides Biosynthesis	Polysaccharides Biosynthesis
2.4.2.39	PWY-5936	xyloglucan biosynthesis	Polysaccharides-Biosynthesis	Biosynthesis	Carbohydrates Biosynthesis	Polysaccharides Biosynthesis	Polysaccharides Biosynthesis	Polysaccharides Biosynthesis	Polysaccharides Biosynthesis	Polysaccharides Biosynthesis
2.4.2.39	PWY-5936	xyloglucan biosynthesis	Polysaccharides-Biosynthesis	Biosynthesis	Carbohydrates Biosynthesis	Polysaccharides Biosynthesis	Polysaccharides Biosynthesis	Polysaccharides Biosynthesis	Polysaccharides Biosynthesis	Polysaccharides Biosynthesis
2.5.1.74	PWY-5839	menaquinol-7 biosynthesis	Menaquinone-Biosynthesis	Biosynthesis	Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis	Quinol and Quinone Biosynthesis	Menaquinol Biosynthesis	Menaquinol Biosynthesis	Menaquinol Biosynthesis	Menaquinol Biosynthesis
2.1.1.163	PWY-5839	menaquinol-7 biosynthesis	Menaquinone-Biosynthesis	Biosynthesis	Cofactors, Prosthetic Groups, Electron Carriers Biosynthesis	Quinol and Quinone Biosynthesis	Menaquinol Biosynthesis	Menaquinol Biosynthesis	Menaquinol Biosynthesis	Menaquinol Biosynthesis
1.14.13.154	PWY-7109	megalomicin A biosynthesis	Macrolides-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Macrolide Antibiotics Biosynthesis	Macrolide Antibiotics Biosynthesis	Macrolide Antibiotics Biosynthesis	Macrolide Antibiotics Biosynthesis
2.4.1.-	PWY-7109	megalomicin A biosynthesis	Macrolides-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Macrolide Antibiotics Biosynthesis	Macrolide Antibiotics Biosynthesis	Macrolide Antibiotics Biosynthesis	Macrolide Antibiotics Biosynthesis
1.14.13.154	PWY-7108	erythromycin A biosynthesis	Macrolides-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Macrolide Antibiotics Biosynthesis	Macrolide Antibiotics Biosynthesis	Macrolide Antibiotics Biosynthesis	Macrolide Antibiotics Biosynthesis
1.14.13.154	PWY-7108	erythromycin A biosynthesis	Macrolides-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Macrolide Antibiotics Biosynthesis	Macrolide Antibiotics Biosynthesis	Macrolide Antibiotics Biosynthesis	Macrolide Antibiotics Biosynthesis
2.1.1.254	PWY-7108	erythromycin A biosynthesis	Macrolides-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Macrolide Antibiotics Biosynthesis	Macrolide Antibiotics Biosynthesis	Macrolide Antibiotics Biosynthesis	Macrolide Antibiotics Biosynthesis
2.1.1.254	PWY-7108	erythromycin A biosynthesis	Macrolides-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Antibiotic Biosynthesis	Macrolide Antibiotics Biosynthesis	Macrolide Antibiotics Biosynthesis	Macrolide Antibiotics Biosynthesis	Macrolide Antibiotics Biosynthesis
4.2.3.61	PWY-2921	capsidiol biosynthesis	TERPENOID-PHYTOALEXINS	Biosynthesis	Secondary Metabolites Biosynthesis	Phytoalexins Biosynthesis	Terpenoid Phytoalexins Biosynthesis	Terpenoid Phytoalexins Biosynthesis	Terpenoid Phytoalexins Biosynthesis	Terpenoid Phytoalexins Biosynthesis
4.2.3.61	PWY-2921	capsidiol biosynthesis	SESQUITERPENOID-SYN	Biosynthesis	Secondary Metabolites Biosynthesis	Terpenoids Biosynthesis	Sesquiterpenoids Biosynthesis	Sesquiterpenoids Biosynthesis	Sesquiterpenoids Biosynthesis	Sesquiterpenoids Biosynthesis
4.2.1.134	PWY-7728	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis II (4-desaturase)	PUFA-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	Unsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis
1.14.19.-	PWY-7728	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis II (4-desaturase)	PUFA-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	Unsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis
1.3.1.93	PWY-7728	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis II (4-desaturase)	PUFA-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	Unsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis
1.1.1.330	PWY-7728	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis II (4-desaturase)	PUFA-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	Unsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis
2.3.1.-	PWY-7728	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis II (4-desaturase)	PUFA-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	Unsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis
4.2.1.134	PWY-7726	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis (6-desaturase)	PUFA-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	Unsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis
1.1.1.-	PWY-7726	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis (6-desaturase)	PUFA-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	Unsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis
1.14.19.3	PWY-7726	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis (6-desaturase)	PUFA-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	Unsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis
1.1.1.330	PWY-7726	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis (6-desaturase)	PUFA-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	Unsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis
1.3.1.93	PWY-7726	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis (6-desaturase)	PUFA-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	Unsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis
2.3.1.-	PWY-7726	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis (6-desaturase)	PUFA-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	Unsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis
2.3.1.16	PWY-7726	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis (6-desaturase)	PUFA-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	Unsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis
1.3.3.6	PWY-7726	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis (6-desaturase)	PUFA-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	Unsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis
4.2.1.134	PWY-7726	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis (6-desaturase)	PUFA-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	Unsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis
1.1.1.330	PWY-7726	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis (6-desaturase)	PUFA-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	Unsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis
2.3.1.-	PWY-7726	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis (6-desaturase)	PUFA-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	Unsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis
4.2.1.17	PWY-7726	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis (6-desaturase)	PUFA-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	Unsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis
1.3.1.93	PWY-7726	(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis (6-desaturase)	PUFA-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	Unsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis	Polyunsaturated Fatty Acid Biosynthesis
4.1.1.72	PWY-7396	butanol and isobutanol biosynthesis (engineered)	Alcohol-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis
1.1.1.-	PWY-7396	butanol and isobutanol biosynthesis (engineered)	Alcohol-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis
4.1.1.-	PWY-7396	butanol and isobutanol biosynthesis (engineered)	Alcohol-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis
2.3.3.7	PWY-7396	butanol and isobutanol biosynthesis (engineered)	Alcohol-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis
1.1.1.1	PWY-7396	butanol and isobutanol biosynthesis (engineered)	Alcohol-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis
1.4.3.19	PWY-7396	butanol and isobutanol biosynthesis (engineered)	Alcohol-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis
1.1.1.85	PWY-7396	butanol and isobutanol biosynthesis (engineered)	Alcohol-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis
4.1.1.72	PWY-5057	L-valine degradation II	VALINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-valine Degradation	L-valine Degradation	L-valine Degradation	L-valine Degradation
2.6.1.42	PWY-5057	L-valine degradation II	VALINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-valine Degradation	L-valine Degradation	L-valine Degradation	L-valine Degradation
1.1.1.1	PWY-5057	L-valine degradation II	VALINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-valine Degradation	L-valine Degradation	L-valine Degradation	L-valine Degradation
4.1.1.72	PWY-7111	pyruvate fermentation to isobutanol (engineered)	Alcohol-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis
4.1.1.72	PWY-7111	pyruvate fermentation to isobutanol (engineered)	Pyruvate-Degradation	Generation of Precursor Metabolites and Energy		Pyruvate Fermentation	Pyruvate Fermentation	Pyruvate Fermentation	Pyruvate Fermentation	Pyruvate Fermentation
1.1.1.86	PWY-7111	pyruvate fermentation to isobutanol (engineered)	Alcohol-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis
1.1.1.86	PWY-7111	pyruvate fermentation to isobutanol (engineered)	Pyruvate-Degradation	Generation of Precursor Metabolites and Energy		Pyruvate Fermentation	Pyruvate Fermentation	Pyruvate Fermentation	Pyruvate Fermentation	Pyruvate Fermentation
2.2.1.6	PWY-7111	pyruvate fermentation to isobutanol (engineered)	Alcohol-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis
2.2.1.6	PWY-7111	pyruvate fermentation to isobutanol (engineered)	Pyruvate-Degradation	Generation of Precursor Metabolites and Energy		Pyruvate Fermentation	Pyruvate Fermentation	Pyruvate Fermentation	Pyruvate Fermentation	Pyruvate Fermentation
4.2.1.9	PWY-7111	pyruvate fermentation to isobutanol (engineered)	Alcohol-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis
4.2.1.9	PWY-7111	pyruvate fermentation to isobutanol (engineered)	Pyruvate-Degradation	Generation of Precursor Metabolites and Energy		Pyruvate Fermentation	Pyruvate Fermentation	Pyruvate Fermentation	Pyruvate Fermentation	Pyruvate Fermentation
1.1.1.1	PWY-7111	pyruvate fermentation to isobutanol (engineered)	Alcohol-Biosynthesis	Biosynthesis	Secondary Metabolites Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis	Alcohols Biosynthesis
1.1.1.1	PWY-7111	pyruvate fermentation to isobutanol (engineered)	Pyruvate-Degradation	Generation of Precursor Metabolites and Energy		Pyruvate Fermentation	Pyruvate Fermentation	Pyruvate Fermentation	Pyruvate Fermentation	Pyruvate Fermentation
3.5.4.21	PWY-4722	creatinine degradation II	Creatinine-Degradation	Degradation/Utilization/Assimilation	Amines and Polyamines Degradation	Creatinine Degradation	Creatinine Degradation	Creatinine Degradation	Creatinine Degradation	Creatinine Degradation
1.5.3.1	PWY-4722	creatinine degradation II	Creatinine-Degradation	Degradation/Utilization/Assimilation	Amines and Polyamines Degradation	Creatinine Degradation	Creatinine Degradation	Creatinine Degradation	Creatinine Degradation	Creatinine Degradation
3.5.2.14	PWY-4722	creatinine degradation II	Creatinine-Degradation	Degradation/Utilization/Assimilation	Amines and Polyamines Degradation	Creatinine Degradation	Creatinine Degradation	Creatinine Degradation	Creatinine Degradation	Creatinine Degradation
3.5.1.59	PWY-4722	creatinine degradation II	Creatinine-Degradation	Degradation/Utilization/Assimilation	Amines and Polyamines Degradation	Creatinine Degradation	Creatinine Degradation	Creatinine Degradation	Creatinine Degradation	Creatinine Degradation
1.5.8.3	PWY-4722	creatinine degradation II	Creatinine-Degradation	Degradation/Utilization/Assimilation	Amines and Polyamines Degradation	Creatinine Degradation	Creatinine Degradation	Creatinine Degradation	Creatinine Degradation	Creatinine Degradation
1.14.13.-	PWY-6503	superpathway of ergotamine biosynthesis	Super-Pathways	Superpathways	Superpathways	Superpathways	Superpathways	Superpathways	Superpathways	Superpathways
