	Pathway	Name	Parent	Category1	Category2	Category3	Category4	Category5	Category6	Category7
2.6.1.57	PWY-5151	L-tyrosine degradation II	TYROSINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation
1.2.3.13	PWY-5151	L-tyrosine degradation II	TYROSINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation
2.6.1.5	PWY-7514	L-tyrosine degradation IV (to 4-methylphenol)	Super-Pathways	Superpathways	Superpathways	Superpathways	Superpathways	Superpathways	Superpathways	Superpathways
2.6.1.5	PWY-7514	L-tyrosine degradation IV (to 4-methylphenol)	TYROSINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation
2.6.1.5	PWY-7514	L-tyrosine degradation IV (to 4-methylphenol)	Super-Pathways	Superpathways	Superpathways	Superpathways	Superpathways	Superpathways	Superpathways	Superpathways
2.6.1.5	PWY-7514	L-tyrosine degradation IV (to 4-methylphenol)	TYROSINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation
4.1.1.83	PWY-7514	L-tyrosine degradation IV (to 4-methylphenol)	Super-Pathways	Superpathways	Superpathways	Superpathways	Superpathways	Superpathways	Superpathways	Superpathways
4.1.1.83	PWY-7514	L-tyrosine degradation IV (to 4-methylphenol)	TYROSINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation
1.2.3.13	PWY-7514	L-tyrosine degradation IV (to 4-methylphenol)	Super-Pathways	Superpathways	Superpathways	Superpathways	Superpathways	Superpathways	Superpathways	Superpathways
1.2.3.13	PWY-7514	L-tyrosine degradation IV (to 4-methylphenol)	TYROSINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation
2.6.1.57	PWY3O-4108	L-tyrosine degradation III	TYROSINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation
2.6.1.57	PWY3O-4108	L-tyrosine degradation III	TYROSINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation
4.1.1.80	PWY3O-4108	L-tyrosine degradation III	TYROSINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation
1.1.1.1	PWY3O-4108	L-tyrosine degradation III	TYROSINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation
2.6.1.58	PWY3O-4108	L-tyrosine degradation III	TYROSINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation
2.6.1.5	PWY-5048	rosmarinic acid biosynthesis I	CINNAMATE-SYN	Biosynthesis	Secondary Metabolites Biosynthesis	Phenylpropanoid Derivatives Biosynthesis	Cinnamates Biosynthesis	Cinnamates Biosynthesis	Cinnamates Biosynthesis	Cinnamates Biosynthesis
2.6.1.5	PWY-5048	rosmarinic acid biosynthesis I	CINNAMATE-SYN	Biosynthesis	Secondary Metabolites Biosynthesis	Phenylpropanoid Derivatives Biosynthesis	Cinnamates Biosynthesis	Cinnamates Biosynthesis	Cinnamates Biosynthesis	Cinnamates Biosynthesis
1.14.13.-	PWY-5048	rosmarinic acid biosynthesis I	CINNAMATE-SYN	Biosynthesis	Secondary Metabolites Biosynthesis	Phenylpropanoid Derivatives Biosynthesis	Cinnamates Biosynthesis	Cinnamates Biosynthesis	Cinnamates Biosynthesis	Cinnamates Biosynthesis
1.14.13.-	PWY-5048	rosmarinic acid biosynthesis I	CINNAMATE-SYN	Biosynthesis	Secondary Metabolites Biosynthesis	Phenylpropanoid Derivatives Biosynthesis	Cinnamates Biosynthesis	Cinnamates Biosynthesis	Cinnamates Biosynthesis	Cinnamates Biosynthesis
1.14.13.-	PWY-5048	rosmarinic acid biosynthesis I	CINNAMATE-SYN	Biosynthesis	Secondary Metabolites Biosynthesis	Phenylpropanoid Derivatives Biosynthesis	Cinnamates Biosynthesis	Cinnamates Biosynthesis	Cinnamates Biosynthesis	Cinnamates Biosynthesis
1.14.13.-	PWY-5048	rosmarinic acid biosynthesis I	CINNAMATE-SYN	Biosynthesis	Secondary Metabolites Biosynthesis	Phenylpropanoid Derivatives Biosynthesis	Cinnamates Biosynthesis	Cinnamates Biosynthesis	Cinnamates Biosynthesis	Cinnamates Biosynthesis
1.1.1.222	PWY-5048	rosmarinic acid biosynthesis I	CINNAMATE-SYN	Biosynthesis	Secondary Metabolites Biosynthesis	Phenylpropanoid Derivatives Biosynthesis	Cinnamates Biosynthesis	Cinnamates Biosynthesis	Cinnamates Biosynthesis	Cinnamates Biosynthesis
2.3.1.-	PWY-5048	rosmarinic acid biosynthesis I	CINNAMATE-SYN	Biosynthesis	Secondary Metabolites Biosynthesis	Phenylpropanoid Derivatives Biosynthesis	Cinnamates Biosynthesis	Cinnamates Biosynthesis	Cinnamates Biosynthesis	Cinnamates Biosynthesis
2.6.1.57	PWY-7518	atromentin biosynthesis	QUINONE-SYN	Biosynthesis	Secondary Metabolites Biosynthesis	Phenylpropanoid Derivatives Biosynthesis	Quinone Secondary Metabolites Biosynthesis	Quinone Secondary Metabolites Biosynthesis	Quinone Secondary Metabolites Biosynthesis	Quinone Secondary Metabolites Biosynthesis
2.6.1.57	PWY-7518	atromentin biosynthesis	QUINONE-SYN	Biosynthesis	Secondary Metabolites Biosynthesis	Phenylpropanoid Derivatives Biosynthesis	Quinone Secondary Metabolites Biosynthesis	Quinone Secondary Metabolites Biosynthesis	Quinone Secondary Metabolites Biosynthesis	Quinone Secondary Metabolites Biosynthesis
2.6.1.5	TYRFUMCAT-PWY	L-tyrosine degradation I	TYROSINE-DEG	Degradation/Utilization/Assimilation	Amino Acids Degradation	Proteinogenic Amino Acids Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation	L-tyrosine Degradation
