	Node1	Node2	CPD
5219	PROUT-PWY	P561-PWY	L-proline
5220	PWY-5279	PWY-5277	sulfite
5221	PWY-5279	P203-PWY	sulfite
5222	PWY-5279	PWY-5302	sulfite
5223	PWY-5279	SULFUROX-PWY	sulfite
5224	PWY-5279	PWY-5285	sulfite
5225	PWY-5279	PWY-6675	sulfite
5226	OANTIGEN-PWY	PWY-7622	UDP-&alpha;-D-galactofuranose
5227	PWY-7174	NONMEVIPP-PWY	1-deoxy-D-xylulose 5-phosphate
5228	PWY-7174	PWY-6756	S-methyl-5-thio-&alpha;-D-ribose 1-phosphate
5229	PWY-7174	SAM-PWY	L-methionine
5230	PWY-3982	PWY-7195	uracil
5231	PWY-3982	PWY0-1298	uracil
5232	PWY-3982	PWY66-420	&beta;-alanine
5233	PWY-3982	PWY-7181	uracil
5234	PWY-3982	PWY-6556	uracil
5235	PWY-3982	PWY-3961	&beta;-alanine
5236	PWY-6217	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	2-pyrone-4,6-dicarboxylate
5237	PWY-5516	LARABITOLUTIL-PWY	xylitol
5238	PWY-2201	PWY66-387	formate
5239	PWY-2201	PWY-2161B	10-formyl-tetrahydrofolate mono-L-glutamate
5240	PWY-2201	FOLSYN-PWY	tetrahydropteroyl mono-L-glutamate
5241	PWY-2201	PWY-6614	tetrahydropteroyl mono-L-glutamate
5242	PWY-2201	PWY66-388	formate
5243	PWY-2201	PWY-5030	FORMYL-THF-GLU-N
5244	PWY-2201	PWY-6612	tetrahydropteroyl mono-L-glutamate
5245	PWY-5037	PWY-6607	xanthosine
5246	PWY-5490	PWY-5491	diethylphosphate
5247	PWY-5490	PWY-5487	4-nitrophenol
5248	PWY-5490	PWY-5488	4-nitrophenol
5249	PWY-6771	PWY-6507	4-deoxy-L-threo-hex-4-enopyranuronate|5-dehydro-4-deoxy-D-glucuronate
5250	PWY-7180	PWY-7179-1	2-deoxy-&alpha;-D-ribose 1-phosphate
5251	PWY-7180	GLYCOLYSIS	D-glyceraldehyde 3-phosphate
5252	PWY-7180	PWY-7179	2-deoxy-&alpha;-D-ribose 1-phosphate
5253	PWY-7180	TCA	acetyl-CoA
5254	PWY-7180	PWY-7181	2-deoxy-&alpha;-D-ribose 1-phosphate
5255	PWY66-393	PWY-7592	arachidonate|arachidonoyl-CoA
5256	PWY-5835	PWY-5829	geraniol
5257	PWY-7270	BSUBPOLYAMSYN-PWY	S-adenosyl-L-methionine
5258	PWY-7270	ARGSPECAT-PWY	S-adenosyl-L-methionine
5259	PWY-7270	ETHYL-PWY	1-aminocyclopropane-1-carboxylate
5260	PWY-7270	PWY-5912	S-methyl-5'-thioadenosine
5261	PWY-5420	PWY-5418	catechol
5262	PWY-5420	DESULFONATION-PWY	catechol
5263	PWY-5420	P661-PWY	catechol
5264	PWY0-1221	4AMINOBUTMETAB-PWY	4-aminobutanoate
5265	PWY0-1221	PWY-6536	4-aminobutanoate
5266	PWY0-1221	PWY0-823	putrescine
5267	PWY0-1221	PWY-6535	4-aminobutanoate
5268	PHOSLIPSYN-PWY	GLYCOLYSIS	glycerone phosphate
5269	PWY-7676	NAGLIPASYN-PWY	lipid A disaccharide|lipid IV<sub>A</sub>
5270	PWY-7676	PWY-7674	CMP-8-amino-3,8-dideoxy-&alpha;-D-manno-octulosonate
5271	PWY-5332	PWY-5359	|Elemental-Sulfur|
5272	PWY-601	PWY-5340	3'-phosphoadenylyl-sulfate
5273	PWY-5381	PWY3O-4106	1-(&beta;-D ribofuranosyl)nicotinamide
5274	PWY-5381	PWY-5110	nicotinate
5275	PWY-5381	PWY-5388	nicotinate
5276	PWY-5381	PYRIDNUCSYN-PWY	&beta;-nicotinate D-ribonucleotide
5277	PWY-5923	FAO-PWY	(3R)-3-isopropenyl-6-oxoheptanoyl-CoA
5278	PWY-5923	PWY-5922	(3R)-3-isopropenyl-6-oxoheptanoate
5279	PWY-7031	PWY-7028	UDP-N,N'-diacetylbacillosamine
5280	PWY66-367	PWY66-368	(R)-3-hydroxybutanoate
5281	PWY66-367	FAO-PWY	acetyl-CoA
5282	PWY66-367	PWY-5451	acetone
5283	SULFATE-CYS-PWY	GLYCOLYSIS	3-phospho-D-glycerate
5284	PWY-6073	PWY-5659	GDP-&alpha;-D-mannose
5285	PWY-7233	PWY3O-19	3,4-dihydroxy-5-all-trans-hexaprenylbenzoate
5286	PWY-7233	PWY-7230	3-hexaprenyl-4-amino-5-methoxybenzoate
5287	HOMOSER-THRESYN-PWY	PWY-7718	L-threonine
5288	HOMOSER-THRESYN-PWY	ILEUSYN-PWY	L-threonine
5289	HOMOSER-THRESYN-PWY	PWY0-1587	L-threonine
5290	HOMOSER-THRESYN-PWY	HOMOSERSYN-PWY	L-homoserine
5291	P222-PWY	P203-PWY	hydrogen sulfide
5292	P222-PWY	PWY-6675	|Intracellular-Sulfur|
5293	PWY-7471	PWY-3661	glycine betaine
5294	DAPLYSINESYN-PWY	PWY-6386	L-lysine
5295	DAPLYSINESYN-PWY	PWY-6409	L-aspartate-semialdehyde
5296	DAPLYSINESYN-PWY	PWY-6387	meso-diaminopimelate
5297	DAPLYSINESYN-PWY	PEPTIDOGLYCANSYN-PWY	meso-diaminopimelate
5298	DAPLYSINESYN-PWY	PWY-6471	L-lysine
5299	DAPLYSINESYN-PWY	HOMOSERSYN-PWY	L-aspartate-semialdehyde
5300	DAPLYSINESYN-PWY	PWY-6470	L-lysine
5301	DAPLYSINESYN-PWY	PWY0-1303	L-lysine
5302	DAPLYSINESYN-PWY	PWY-5265	L-lysine
5303	DAPLYSINESYN-PWY	PWY-6385	|Lysine-or-DAP|
5304	PWY-2504	TCA	acetyl-CoA|succinyl-CoA
5305	PWY-7660	PWY-7542	fumiquinazoline F
5306	PWY-7643	PWY-361	coniferyl alcohol
5307	PWY-3462	PWY-6443	L-phenylalanine
5308	PWY-3462	PWY-1121	L-phenylalanine
5309	PWY-3462	PWY-6432	L-phenylalanine
5310	PWY-3462	PWY1F-467	L-phenylalanine
5311	PWY-3462	PWY-6444	L-phenylalanine
5312	PWY-3462	PWY-6446	L-phenylalanine
5313	PWY-3462	PWY-7064	L-phenylalanine
5314	PWY-1121	PWY-7036	docosanoyl-CoA
5315	PWY-1121	PWY-5147	oleoyl-CoA
5316	PWY-1121	PWY-7120	16-hydroxypalmitate
5317	PWY-1121	PWY-5971	palmitoyl-CoA
5318	PWY-1121	PWY-3462	L-phenylalanine
5319	PWY-6102	PWY-6103	5-chloro-3-methylcatechol
5320	PWY-6102	PWY-6086	5-chloro-3-methylcatechol
5321	PWY-7741	PWY-7036	behenate
5322	PWY-7741	PWY-7744	|Phthiocerols||C34-phthiocerol A
5323	PWY-5195	PWY-5123	(2E,6E)-farnesyl diphosphate
5324	PWY-5850	PWY-5123	(2E,6E)-farnesyl diphosphate
5325	HOMOCYSDEGR-PWY	PWY-5329	L-cysteine
5326	HOMOCYSDEGR-PWY	PWY-5344	L-homocysteine
5327	HOMOCYSDEGR-PWY	SERSYN-PWY	L-serine
5328	HOMOCYSDEGR-PWY	METHIONINE-DEG1-PWY	L-homocysteine
5329	HOMOCYSDEGR-PWY	PWY-5130	2-oxobutanoate
5330	HOMOCYSDEGR-PWY	PWY-5331	L-cysteine
5331	HOMOCYSDEGR-PWY	LCYSDEG-PWY	L-cysteine
5332	HOMOCYSDEGR-PWY	CYSTEINE-DEG-PWY	L-cysteine
5333	PWY1G-1	PWY1G-0	1-(2-amino-2-deoxy-&alpha;-D-glucopyranosyl)-1D-myo-inositol
5334	PWY-6349	PWY-6141	saturated CDP-archaeol|unsaturated CDP-archaeol
5335	PWY-6349	P341-PWY	glycerone phosphate
5336	PWY-6349	PWY-6350	saturated CDP-archaeol|unsaturated CDP-archaeol
5337	PWY-6349	CALVIN-PWY	glycerone phosphate
5338	PWY-7573	PWY-5659	GDP-&alpha;-D-mannose
5339	PWY-7573	PWY-7624	GDP-mycosamine
5340	PWY-7573	PWY-6722	GDP-mycosamine
5341	PWY-6122	PWY0-661	5-phospho-&alpha;-D-ribose 1-diphosphate
5342	PWY-6122	PWY-7729	5-amino-1-(5-phospho-&beta;-D-ribosyl)imidazole
5343	PWY-6122	PWY0-662	5-phospho-&alpha;-D-ribose 1-diphosphate
