	Node1	Node2	CPD
1115	PWY-6093	PWY-7496	4,5-dichlorobenzene-1,2-diol
1116	PWY-6093	PWY-6081	3,5-dichlorocatechol
1117	PWY66-399	PWY-5067	|D-glucopyranose-6-phosphate|
1118	PWY-5319	PWY-5176	coumarin
1119	PWY-6090	PWY-6093	4,5-dichlorobenzene-1,2-diol
1120	PWY-6689	TRNA-CHARGING-PWY	|Spliced-tRNA-precursor|
1121	PWY-7582	PWY-5276	sulfite
1122	PWY-7582	TCA	succinate
1123	PWY-5489	PWY-2361	3-oxoadipate
1124	PWY-5489	PWY-5491	dimethylthiophosphate
1125	PWY-5489	PWY-5487	4-nitrophenol
1126	PWY-5489	PWY-5488	4-nitrophenol
1127	PWY-7363	PWY-3581	(S)-reticuline|(S)-coclaurine
1128	PWY-5257	NONOXIPENT-PWY	D-ribulose 5-phosphate
1129	PWY-5257	TCA	2-oxoglutarate|(S)-malate
1130	PWY-6028	PWY3O-246	ACETOIN|(R)-acetoin
1131	PWY-6028	PWY-6388	(S)-acetoin|ACETOIN
1132	PWY-7501	PWY3O-450	PHOSPHATIDYLCHOLINE
1133	PWY-5288	PWY-7623	3S,3'S-astaxanthin
1134	PWY-5288	PWY-5943	all-trans-&beta;-carotene
1135	PWY-5288	PWY-5291	canthaxanthin
1136	PWY-5288	PWY-7637	3S,3'S-astaxanthin|canthaxanthin|adonixanthin
1137	PWY-5288	CAROTENOID-PWY	all-trans-&beta;-carotene
1138	PWY-5288	PWY-5944	zeaxanthin
1139	PWY1G-0	UDPNAGSYN-PWY	UDP-N-acetyl-&alpha;-D-glucosamine
1140	PWY1G-0	PWY1G-1	1-(2-amino-2-deoxy-&alpha;-D-glucopyranosyl)-1D-myo-inositol
1141	PWY-7758	PWY-5531	3,8-divinyl chlorophyllide a
1142	PWY-5994	PWY-5972	palmitate||Palmitoyl-ACPs|
1143	PWY-5994	PWY3DJ-12	palmitoyl-CoA
1144	PWY-5994	PWY-7654	palmitoyl-CoA
1145	PWY-5994	PWY-321	|Palmitoyl-ACPs|
1146	PWY-5994	PWY0-862	|Trans-D2-decenoyl-ACPs|
1147	PWY-5994	PWY0-501	|Octanoyl-ACPs|
1148	PWY-5994	PWY-5366	|Palmitoyl-ACPs|
1149	PWY-5994	SPHINGOLIPID-SYN-PWY	palmitoyl-CoA
1150	PWY-5994	PWY-5362	|Palmitoyl-ACPs|
1151	PWY-5994	PWY-5966	|Acetoacetyl-ACPs|
1152	PWY-5994	PWY3O-355	|Palmitoyl-ACPs|
1153	PWY-5994	PWY-5367	|Palmitoyl-ACPs|
1154	PWY-5994	PWY-7423	palmitoyl-CoA
1155	PWY-5994	PWY-7656	palmitoyl-CoA
1156	PWY-5406	PWY-5997	&alpha;-linolenate||Alpha-linolenoyl-groups|
1157	PWY-5406	PWY-5995	linoleate
1158	PWY-5479	PWY-7748	(-)-yatein
1159	PWY-5479	PWY-7629	(-)-yatein
1160	PWY-5479	PWY-7491	podophyllotoxin|6-methoxypodophyllotoxin
1161	PWY-5152	PWY-641	CPD-11512
1162	PWY-5152	PWY-6029	(2R,3S,4S)-leucodelphinidin
1163	PWY-5152	PWY-3101	(+)-dihydromyricetin
1164	PWY-5152	PWY1F-FLAVSYN	(+)-dihydrokaempferol
1165	PWY-5152	PWY-5060	(2S)-eriodictyol
1166	PWY-5152	PWY1F-823	(+)-dihydrokaempferol|(2S)-eriodictyol
1167	PWY-5152	PWY-5153	(2R,3S,4S)-leucodelphinidin
1168	PWY-6422	PWY-5742	L-arginine
1169	PWY-6422	AST-PWY	L-arginine
1170	PWY-1701	PWY-1722	formaldehyde
1171	PWY-1701	PWY-1861	formaldehyde
1172	PWY-1701	PWY-1723	formaldehyde
1173	PWY-1701	PWY-1622	formaldehyde
1174	PWY-1701	PWY-1801	formaldehyde
1175	PWY-1701	PWY-1641	methanol
1176	PWY-6883	PYRUVDEHYD-PWY	acetyl-CoA
1177	GLYSYN-PWY	PRPP-PWY	glycine
1178	GLYSYN-PWY	DENOVOPURINE2-PWY	glycine
1179	GLYSYN-PWY	SERSYN-PWY	L-serine
1180	GLYSYN-PWY	PWY-7718	glycine
1181	GLYSYN-PWY	PWY-6121	glycine
1182	GLYSYN-PWY	PWY-841	glycine
1183	GLUTAMINEFUM-PWY	GLUTDEG-PWY	L-glutamate
1184	TCA-GLYOX-BYPASS	PYRUVDEHYD-PWY	acetyl-CoA
1185	PWY-5377	PWY-7068	&alpha;-amyrin
1186	PWY-5377	PWY-5203	(3S)-2,3-epoxy-2,3-dihydrosqualene
1187	PWY-5377	PWY-5670	(3S)-2,3-epoxy-2,3-dihydrosqualene
1188	PWY-2181	PWY-361	trans-cinnamate
1189	PWY-2181	PWY1F-467	4-coumarate|trans-cinnamate
1190	PWY-2181	PWY1F-FLAVSYN	4-coumarate
1191	PWY-2181	PWY-5349	CAFFEATE
1192	PWY-2181	PWY-3301	sinapate
1193	PWY-6327	THIOSULFOX-PWY	tetrathionate
1194	PWY-6327	PWY-5303	tetrathionate
1195	PWY-2083	PWY-2002	(2S)-liquiritigenin
1196	PWY-2083	PWY-2861	biochanin-A
1197	PWY-2083	PWY-2345	genistein
1198	PWY-2083	PWY1F-FLAVSYN	|Naringenin||(2S)-naringenin
1199	PWY-2083	PWY-4502	genistein
1200	PWY-5182	TCA	acetyl-CoA
1201	PWY-7812	PWY-7811	6-methylpretetramide
1202	PWY-7812	PWY-7810	tetracycline
1203	PWY-7343	PWY-7666	UDP-&alpha;-D-glucose
1204	PWY-7343	PWY-5114	UDP-&alpha;-D-glucose
1205	PWY-7343	PWY-7344	UDP-&alpha;-D-glucose
1206	PWY-7343	PWY-7819	UDP-&alpha;-D-glucose
1207	PWY-7343	PWY-3261	UDP-&alpha;-D-glucose
1208	PWY-7343	PWY-4821	UDP-&alpha;-D-glucose
1209	PWY-7343	PWY-5067	UDP-&alpha;-D-glucose
1210	PWY-7343	PWY-7347	UDP-&alpha;-D-glucose
1211	PWY-7343	PWY-7622	UDP-&alpha;-D-glucose
1212	PWY-7343	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	UDP-&alpha;-D-glucose
1213	PWY-7343	PWY-7346	UDP-&alpha;-D-glucose
1214	PWY-5944	PWY-7175	zeaxanthin
1215	PWY-5944	PWY-6288	zeaxanthin
1216	PWY-5944	PWY-5288	zeaxanthin
1217	PWY-5944	PWY-5397	zeaxanthin
1218	PWY-5944	PWY-5943	all-trans-&beta;-carotene
1219	PWY-6304	PWY-5120	geranylgeranyl diphosphate
1220	PWY-7092	ASPSYNII-PWY	hydrogen cyanide
1221	PWY-7405	TRPSYN-PWY	anthranilate
1222	PWY-7405	PWY-5123	(2E,6E)-farnesyl diphosphate
1223	PWY-7604	PWY-7603	notoamide S
1224	PWY-2345	PWY-7145	genistin
1225	PWY-2345	PWY-2083	genistein
1226	PWY-6371	PWY-2301	<I>myo</I>-inositol
1227	PWY-6309	PWY-5653	aminocarboxymuconate semialdehyde
1228	PWY-6309	PWY-5177	glutaryl-CoA
1229	PWY-7191	PWY-3101	kaempferol
1230	HEXPPSYN-PWY	PWY-5853	all-trans-hexaprenyl diphosphate
1231	HEXPPSYN-PWY	PWY-5123	(2E,6E)-farnesyl diphosphate
1232	HEXPPSYN-PWY	PWY-7372	all-trans-hexaprenyl diphosphate
1233	HEXPPSYN-PWY	PWY3O-19	all-trans-hexaprenyl diphosphate
1234	HEXPPSYN-PWY	PWY-7230	all-trans-hexaprenyl diphosphate
1235	HEXPPSYN-PWY	PWY-7235	all-trans-hexaprenyl diphosphate
1236	PWY-6565	PWY-46	putrescine
1237	PWY-6565	PWY-40	putrescine
1238	PWY-6672	LEU-DEG2-PWY	3-methylcrotonyl-CoA
1239	PWY-6672	PWY-6670	cis-geranyl-CoA
1240	PWY-2229	PWY-2002	2,4',7-trihydroxyisoflavanone
1241	PWY-2229	PWY-2055	formononetin
1242	PWY-7413	PWY-7412	dTDP-6-deoxy-&alpha;-D-allose
1243	PWY-7413	PWY-7415	dTDP-6-deoxy-&alpha;-D-allose
1244	PWY-5666	PWY-922	dimethylallyl diphosphate|solanidine
1245	PWY-7432	PWY-7436	homogentisate
1246	PWY-7432	PHESYN	prephenate
1247	PWY-7432	PWY-1422	homogentisate
1248	PWY-5173	PWY-1042	pyruvate
1249	PWY-5173	TCA	citrate
1250	PWY-5173	CALVIN-PWY	pyruvate
1251	PWY0-1587	HOMOSER-THRESYN-PWY	L-threonine
1252	2OXOBUTYRATECAT-PWY	PWY-701	2-oxobutanoate
1253	PWY-5119	PWY-5060	apigenin
1254	PWY-6085	PWY-6084	3,5-dichlorocatechol
1255	PWY-6365	PWY-6364	D-myo-inositol (1,3,4)-trisphosphate
1256	PWY-5989	PWY-7587	|Stearoyl-ACPs|
1257	PWY-5989	PWY-6733	stearoyl-CoA
1258	PWY-5989	PWY-5147	|Stearoyl-ACPs|
1259	PWY-5989	PWY-7743	|Long-Chain-Acyl-CoAs|
1260	PWY-5989	PWY-7036	stearoyl-CoA
1261	PWY-5989	PWY-5080	|Very-long-Chain-234-Saturated-acyl-CoAs|
1262	PWY-5989	PWY-7596	|Stearoyl-ACPs|
1263	PWY-5989	PWYG-321	|Stearoyl-ACPs|
1264	PWY-5989	PWY-5971	palmitate||Palmitoyl-ACPs|
1265	PWY-5989	PWY-6622	|Stearoyl-ACPs|
1266	PWY-1269	KDOSYN-PWY	CMP-3-deoxy-&beta;-D-manno-octulosonate
1267	PWY-1269	PWY-7675	CMP-3-deoxy-&beta;-D-manno-octulosonate
1268	PWY-1269	PWY-6467	CMP-3-deoxy-&beta;-D-manno-octulosonate
1269	URDEGR-PWY	PWY-5691	(S)-(+)-allantoin
1270	PWY-5098	PWY-5068	chlorophyll a
1271	PWY-5098	PWY-5107	phytol
1272	PWY-6079	PWY-6550	anthranilate
1273	PWY-6079	TRPCAT-PWY	anthranilate
1274	PWY-6079	PWY-5419	catechol
1275	PWY-6079	CATECHOL-ORTHO-CLEAVAGE-PWY	catechol
1276	PWY-6079	PWY-2421	anthranilate
1277	PWY-6079	P183-PWY	catechol
1278	PWY-7417	PWY-7420	1-oleyl-2-lyso-phosphatidate
1279	PWY-7417	PWY-7039	dioleoyl phosphatidate
1280	PWY-7417	TRIGLSYN-PWY	dioleoyl phosphatidate
1281	PWY-7417	PWY-7411	dioleoyl phosphatidate
1282	PWY-6368	PWY-6352	1-PHOSPHATIDYL-1D-MYO-INOSITOL-34-BISPH||L-1-phosphatidyl-inositols||PHOSPHATIDYLINOSITOL-345-TRIPHOSPHATE
1283	PWY-6368	PWY-6351	|L-1-phosphatidyl-inositols|
1284	PWY-6577	PWY-5670	(2E,6E)-farnesyl diphosphate
1285	PWY-6577	PWY-2541	(2E,6E)-farnesyl diphosphate
1286	P662-PWY	PWY-5162	2-oxopent-4-enoate
1287	PWY-6982	PWY-5365	umbelliferone
1288	PWY-6982	PWY1F-467	4-coumarate
1289	PWY-6636	PWY-5418	phenol
1290	PWY1F-FLAVSYN	PWY-5118	(2S)-naringenin
1291	PWY1F-FLAVSYN	PWY-2083	|Naringenin||(2S)-naringenin
1292	PWY1F-FLAVSYN	PWY-3097	(2S)-naringenin
1293	PWY1F-FLAVSYN	PWY-5825	unknown isoflavone
1294	PWY1F-FLAVSYN	PWY-5152	(+)-dihydrokaempferol
1295	PWY1F-FLAVSYN	PWY1F-467	4-coumarate
1296	PWY1F-FLAVSYN	PWY1F-823	(+)-dihydrokaempferol|(2S)-naringenin
1297	PWY1F-FLAVSYN	PWY-5060	(2S)-naringenin||Naringenin|
1298	PWY1F-FLAVSYN	PWY-5161	isoliquiritigenin
1299	PWY1F-FLAVSYN	PWY-6602	(2S)-naringenin
1300	PWY1F-FLAVSYN	PWY-5116	(2S)-naringenin
1301	PWY1F-FLAVSYN	PWY-6970	acetyl-CoA
1302	PWY1F-FLAVSYN	PWY-5094	(2S)-naringenin
1303	PWY1F-FLAVSYN	PWY-5172	acetyl-CoA
1304	PWY1F-FLAVSYN	PWY-6266	(+)-dihydrokaempferol
1305	PWY1F-FLAVSYN	PWY-7325	|Naringenin|
1306	PWY1F-FLAVSYN	PWY-3101	(+)-dihydrokaempferol
1307	PWY1F-FLAVSYN	PWY-2002	isoliquiritigenin
1308	PWY1F-FLAVSYN	PWY-6401	isoliquiritigenin
1309	PWY1F-FLAVSYN	PWY-1901	2',4,4',6'-tetrahydroxychalcone
1310	PWY1F-FLAVSYN	PWY-5339	2',4,4',6'-tetrahydroxychalcone
1311	PWY1F-FLAVSYN	PWY-2181	4-coumarate
1312	PWY1F-FLAVSYN	PWY-5821	unknown isoflavone
1313	PWY-7686	PYRUVDEHYD-PWY	pyruvate
1314	PWY-5398	PWY-5397	crocetin
1315	PWY-7315	ECASYN-PWY	dTDP-N-acetylthomosamine
1316	PWY0-1313	PWY-5768	acetate
1317	PWY0-1313	P42-PWY	acetyl-CoA
1318	PWY-6032	PWY-6036	digitoxigenin
1319	PWY-6032	PWY-7299	progesterone
1320	PWY-7355	PWY-7352	daunorubicin
1321	GLYCGREAT-PWY	PWY-6158	creatine
1322	PWY-6580	PWY-6352	<I>myo</I>-inositol
1323	PWY-6580	PWY-6351	<I>myo</I>-inositol
1324	PWY-6134	PWY-6133	L-tyrosine
1325	PWY-6134	PWY66-301	L-tyrosine
1326	PWY-7694	GLYCOLYSIS	1,3-bisphospho-D-glycerate
1327	PWY-7014	PWY-7015	paromamine
1328	PWY-7014	PWY-7000	paromamine
1329	PWY-7014	PWY-7018	paromamine
1330	PWY-7014	PWY-7025	paromamine
1331	ARGDEGRAD-PWY	PWY-6344	L-ornithine
1332	ARGDEGRAD-PWY	ORN-AMINOPENTANOATE-CAT-PWY	L-ornithine
1333	ARGDEGRAD-PWY	CITRULLINE-DEG-PWY	L-citrulline
1334	CHOLINE-BETAINE-ANA-PWY	PWY-3661-1	glycine betaine
1335	CHOLINE-BETAINE-ANA-PWY	PWY-3661	glycine betaine
1336	PWY-6913	NONMEVIPP-PWY	dimethylallyl diphosphate
1337	PWY66-421	GLUDEG-I-PWY	4-aminobutanoate
1338	PWY-7760	PWY-5531	3,8-divinyl chlorophyllide a
1339	PWY-6458	PWY-6801	benzoyl-CoA
1340	PWY-6458	PWY-981	benzoyl-CoA
1341	PWY-6458	PWY-6457	(E)-cinnamoyl-CoA
1342	PWY-6458	PWY-4203	salicylate|benzoyl-CoA
1343	PWY-6458	PWY-6443	benzoyl-CoA
1344	PWY-6859	PWY-7720	dimethylallyl diphosphate
1345	PWY-7181	PWY-6430	thymine
1346	PWY-7181	PWY-3982	uracil
1347	PWY-7181	PWY-7180	2-deoxy-&alpha;-D-ribose 1-phosphate
1348	PWY-5802	NONMEVIPP-PWY	dimethylallyl diphosphate
1349	PWY-5802	PWY-5837	2-carboxy-1,4-naphthoquinol
1350	NAGLIPASYN-PWY	UDPNAGSYN-PWY	UDP-N-acetyl-&alpha;-D-glucosamine
1351	NAGLIPASYN-PWY	PWY-6467	lipid A disaccharide|lipid IV<sub>A</sub>
1352	NAGLIPASYN-PWY	KDOSYN-PWY	lipid A disaccharide|lipid IV<sub>A</sub>
1353	NAGLIPASYN-PWY	PWY-7675	lipid A disaccharide|lipid IV<sub>A</sub>
1354	NAGLIPASYN-PWY	PWY-7676	lipid A disaccharide|lipid IV<sub>A</sub>
1355	NAGLIPASYN-PWY	PWY-5971	|R-3-hydroxymyristoyl-ACPs|
1356	PWY-7702	PWY-7701	4-hydroxy-4-methyl-L-glutamate
1357	PWY-6641	PYRUVDEHYD-PWY	pyruvate
1358	PWY-6641	PWY-5276	sulfite
1359	PWY-6641	TCA	acetyl-CoA
1360	PWY-46	PWY-6559	putrescine
1361	PWY-46	PWY-6565	putrescine
1362	PWY-46	BSUBPOLYAMSYN-PWY	putrescine
1363	PWY-6703	PWY-6720	preQ<sub>0</sub>
1364	PWY-6703	PWY-6700	preQ<sub>0</sub>
1365	PWY-6703	PWY-6711	preQ<sub>0</sub>
1366	PWY-5301	PWY-5290	strictosidine
1367	PWY-7615	PWY-2467	(+)-pisatin
1368	PWY-7615	PWY-3042	(-)-phaseollin|(-)-phaseollidin
1369	PWY-7615	PWY-2464	(-)-maackiain
1370	PWY-7615	PWY-2463	(-)-medicarpin
1371	PWY-5425	PWY-5123	(2E,6E)-farnesyl diphosphate
1372	PWY-3461	PWY-5394	L-tyrosine
1373	PWY-3461	PWY-5754	L-tyrosine
1374	PWY-3461	PWY-5049	L-tyrosine
1375	PWY-3461	PWY-5071	L-tyrosine
1376	PWY-3461	PWY-7561	L-tyrosine
1377	PWY-3461	PWY-5886	L-tyrosine
1378	PWY-3461	PWY-7563	L-tyrosine
1379	PWY-3461	PWY-7565	L-tyrosine
1380	PWY-3461	PWY-5048	L-tyrosine
1381	PWY-3461	PWY-7518	L-tyrosine
1382	PWY-5188	PWY0-1415	uroporphyrinogen-III
1383	PWY-5188	PWY-7159	uroporphyrinogen-III
1384	PWY-5188	PWY-7377	uroporphyrinogen-III
1385	PWY-5188	PWY-5196	uroporphyrinogen-III
1386	PWY-5188	CHLOROPHYLL-SYN	uroporphyrinogen-III
1387	PWY-5188	PWY-7376	uroporphyrinogen-III
1388	PWY-5188	PWY-5194	uroporphyrinogen-III
1389	PWY-5188	PWY-7766	uroporphyrinogen-III
1390	PWY-5188	HEMESYN2-PWY	uroporphyrinogen-III
1391	PWY-5188	HEME-BIOSYNTHESIS-II	uroporphyrinogen-III
1392	PWY-6336	PWY-7795	protocatechuate
1393	PWY-6336	PWY-5162	2-oxopent-4-enoate
1394	PWY-5964	PWY-6823	MoO<sub>2</sub>-molybdopterin cofactor
1395	PWY-5307	PWY-5153	delphinidin-3-O-&beta;-D-glucoside
1396	TRNA-CHARGING-PWY	PWY-6689	|Spliced-tRNA-precursor|
1397	TRNA-CHARGING-PWY	PWY-7803	|Spliced-tRNA-precursor|
1398	PWY-7172	PWY-3101	quercetin
1399	PWY-5857	PWY-5755	|4-hydroxybenzoate|
1400	PWY-5857	PWY-5889	ubiquinone-10
1401	PWY-5857	PWY-5888	ubiquinone-10
1402	PWY-5857	PWY-5806	all-trans-decaprenyl diphosphate
1403	PWY-701	PWY-5130	2-oxobutanoate
1404	PWY-701	2OXOBUTYRATECAT-PWY	2-oxobutanoate
1405	P221-PWY	FAO-PWY	octanoyl-CoA
1406	PWY-5897	PWY-5123	(2E,6E)-farnesyl diphosphate
1407	PWY-1361	PWY-283	benzoyl-CoA
1408	PWY0-1305	PWY-6536	4-aminobutanoate
1409	PWY0-1305	PWY-6537	4-aminobutanoate
1410	PWY0-1305	PWY-6473	4-aminobutanoate
1411	URSIN-PWY	PWY-6124	IMP
1412	PWY-7298	PWY-7325	salvigenin
1413	PWY-7622	PWY-6397	UDP-&alpha;-D-galactofuranose
1414	PWY-7622	OANTIGEN-PWY	UDP-&alpha;-D-galactofuranose
1415	PWY-7622	PWY-6317	UDP-&alpha;-D-galactose
1416	PWY-7622	PWY-7343	UDP-&alpha;-D-glucose
1417	PWY-7476	PWY-6443	benzoate
1418	PWY-7476	TRPSYN-PWY	anthranilate
1419	PWY-7476	PWY-5670	(3S)-2,3-epoxy-2,3-dihydrosqualene
1420	PWY-5121	PWY-2981	geranylgeranyl diphosphate
1421	PWY-5121	PWY-5032	geranylgeranyl diphosphate
1422	PWY-5121	PWY-5660	geranylgeranyl diphosphate
1423	PWY-5298	PWY-5629	L-2-aminoadipate
1424	PWY-7227	PWY-7219	ADP
1425	PWY-5515	LARABITOLUTIL-PWY	xylitol
1426	PWY-7825	PWY-7480	2,3-dihydroxybenzoate
1427	PWY-7525	PROSYN-PWY	L-proline
1428	PWY-7525	TRPSYN-PWY	L-tryptophan
1429	PWY-7525	PWY-7603	brevianamide F
1430	PWY-7525	PWY-7526	fumitremorgin C
1431	PWY-7609	TRPSYN-PWY	L-tryptophan
1432	PWY-7609	HISTSYN-PWY	L-histidine
1433	PWY-7714	PWY-7711	isotrichodiol
1434	PWY-6568	PWY-6566	|Chondroitin-D-glucuronates|
1435	PWY-7644	PWY-6507	4-deoxy-L-threo-hex-4-enopyranuronate
1436	PWY-6044	PWY-1622	formaldehyde
1437	PWY-6044	PWY-1281	sulfoacetaldehyde
1438	PWY-6642	PYRUVDEHYD-PWY	pyruvate
1439	PWY-6642	PWY-5276	sulfite
1440	PWY-6546	PWY-2582	brassinolide|castasterone
1441	PWY-6546	PWY-699	brassinolide|castasterone
1442	DESULFONATION-PWY	PWY-5415	catechol
1443	DESULFONATION-PWY	PWY-5419	catechol
1444	DESULFONATION-PWY	PWY-5420	catechol
1445	DESULFONATION-PWY	P183-PWY	catechol
1446	PWY-6533	PWY-7771	aniline
1447	PWY-6533	PWY-6532	aniline
1448	PWY-6533	PWY-5419	catechol
1449	PWY-6036	PWY-6032	digitoxigenin
1450	PWY-6899	PWY-6910	4-amino-2-methyl-5-pyrimidinemethanol
1451	PWY-7642	PWY-695	2-cis-abscisate
1452	PWY-6801	PWY-6458	benzoyl-CoA
1453	PWY-5980	PWY-1061	|1-4-alpha-D-galacturonosyl|
1454	PWY-6184	PWY-6185	4-methylcatechol
1455	PWY-5087	CENTFERM-PWY	pyruvate
1456	PWY-7080	PWY-7079	sulochrin
1457	PWY-7097	P184-PWY	protocatechuate
1458	PWY-7097	PWY-7557	vanillin
1459	PWY-2161B	PWY-2201	10-formyl-tetrahydrofolate mono-L-glutamate
1460	PWY-7299	PWY66-377	pregnenolone
1461	PWY-7299	PWY-6032	progesterone
1462	PWY-7299	PWY66-381	progesterone
1463	PWY-7299	PWY-7455	progesterone
1464	PWY-7299	PWY66-382	progesterone
1465	PWY-5047	PWY-5032	ent-kaurene
1466	PWY-6048	PWY-6052	3-(methylthio)propanoate
1467	PWY-6048	PWY-6373	acrylate
1468	CO2FORM-PWY	PWY-5198	|Factor-420|
1469	CO2FORM-PWY	P261-PWY	|CoM|
1470	CO2FORM-PWY	PWY-5209	|Me-CoM|
1471	CO2FORM-PWY	METHFORM-PWY	|Me-CoM|
1472	PWY-3041	PWY-5122	geranyl diphosphate
1473	PWY-7484	PWY-2981	ent-cassa-12,15-diene
1474	PWY-6431	PWY1F-467	4-coumarate
1475	PWY-5743	PWY-5744	glyoxylate
1476	PWY-5430	PYRUVDEHYD-PWY	pyruvate
1477	PWY-5430	TOLUENE-DEG-CATECHOL-PWY	benzoate
1478	PWY-5430	TCA	acetyl-CoA
1479	PWY-5267	PWY-6736	thiocyanate
1480	PWY-7664	PWY-5971	|Dodec-2-enoyl-ACPs|||R-3-hydroxydodecanoyl-ACPs|
1481	PWY-7664	PWY-7663	|Oleoyl-ACPs|
1482	PWY-5274	P203-PWY	hydrogen sulfide
1483	PWY-7046	CENTBENZCOA-PWY	benzoyl-CoA
1484	PWY-5379	PWY-5380	1D-chiro-inositol
1485	LCYSDEG-PWY	HOMOCYSDEGR-PWY	L-cysteine
1486	PWY-5860	PWY-5849	demethylmenaquinone-6
1487	PWY-5860	PWY-5123	(2E,6E)-farnesyl diphosphate
1488	PWY-5534	ACETOACETATE-DEG-PWY	acetoacetate
1489	PWYQT-4474	PWYQT-4450	2-oxo-9-methylthiononanoate
1490	PWY-83	PWY-361	sinapaldehyde|sinapyl alcohol|coniferaldehyde
1491	PWY-83	PWY-6302	dihydroconiferyl alcohol
1492	PWY0-1315	RHAMCAT-PWY	(S)-lactaldehyde
1493	PWY0-1315	FUCCAT-PWY	(S)-lactaldehyde
1494	PWY-5036	PWY-5034	gibberellin A<sub>12</sub>
1495	PWY-5036	PWY-5053	gibberellin A<sub>12</sub>
1496	PWY-5987	PWY-4381	malonyl-CoA
1497	PWY-5987	PWY-5971	palmitoyl-CoA
1498	PWY-5175	PWY-5946	&delta;-carotene
1499	PWY-5175	CAROTENOID-PWY	&delta;-carotene
1500	LARABITOLUTIL-PWY	NONOXIPENT-PWY	D-xylulose 5-phosphate
1501	LARABITOLUTIL-PWY	PWY-5516	xylitol
1502	LARABITOLUTIL-PWY	PWY-5525	xylitol
1503	LARABITOLUTIL-PWY	PWY-5515	xylitol
1504	PWY-6707	PWY-7448	gallate
1505	PWY-6707	PWY-6164	3-dehydroquinate
1506	PWY-6707	PWY-5475	gallate
1507	PWY-7652	PWY-7650	echinocandin B
1508	PWY-6538	PWY-5691	urate
1509	PWY-5388	PWY-5381	nicotinate
1510	PWY-5966	PWY-5994	|Acetoacetyl-ACPs|
1511	PWY-5966	FASYN-ELONG-PWY	|Acetoacetyl-ACPs|
1512	PWY-2321	PWY-5775	formononetin
1513	PWY-2321	PWY-2463	formononetin
1514	PWY-2321	PWY-2002	2,4',7-trihydroxyisoflavanone
1515	PWY-2321	PWY-6427	formononetin
1516	PWY-2321	PWY-2761	daidzein
1517	PWY-2321	PWY-2904	formononetin
1518	PWY-2321	PWY-2464	formononetin
1519	PWY-6372	PWY-2301	<I>myo</I>-inositol
1520	PWY-5482	GLYCOLYSIS	pyruvate
1521	PWY-5060	PWY-6239	luteolin
1522	PWY-5060	PWY1F-FLAVSYN	(2S)-naringenin||Naringenin|
1523	PWY-5060	PWY-5119	apigenin
1524	PWY-5060	PWY-7252	(2S)-eriodictyol
1525	PWY-5060	PWY-6010	apigenin
1526	PWY-5060	PWY-5152	(2S)-eriodictyol
1527	PWY-5060	PWY-7444	luteolin
1528	PWY-5060	PWY-5105	(2S)-eriodictyol
1529	PWY-5060	PWY-6232	luteolin
1530	PWY-5060	PWY-7253	(2S)-naringenin
1531	PWY-5060	PWY-5793	luteolin
1532	PWY-5060	PWY-6015	apigenin
1533	PWY-5060	PWY1F-823	(2S)-eriodictyol
1534	PWY-5060	PWY-7188	(2S)-eriodictyol
1535	PWY-5806	PWY-5857	all-trans-decaprenyl diphosphate
1536	PWY-5806	PWY-5872	all-trans-decaprenyl diphosphate
1537	PWY-5806	PWY-5890	all-trans-decaprenyl diphosphate
1538	PWY-5806	PWY-5123	(2E,6E)-farnesyl diphosphate
1539	PWY-5488	PWY-2361	3-oxoadipate
1540	PWY-5488	PWY-5489	4-nitrophenol
1541	PWY-5488	PARATHION-DEGRADATION-PWY	4-nitrophenol
1542	PWY-5488	PWY-5490	4-nitrophenol
1543	PWY-7393	PWY-5120	geranylgeranyl diphosphate
1544	PWY-6556	PWY-3982	uracil
1545	PWY-6556	PWY-7185	cytidine|uridine
1546	PWY-5366	PWY-5994	|Palmitoyl-ACPs|
1547	PWY-5366	PWY-5973	|Palmitoleoyl-ACPs|
1548	PWY-5366	PWY-5971	|Palmitoyl-ACPs|
1549	PWY-5852	POLYISOPRENSYN-PWY	all-trans-octaprenyl diphosphate
1550	PWY-5852	MENAQUINONESYN-PWY	demethylmenaquinol-8
1551	PWY-5852	PWY-5783	all-trans-octaprenyl diphosphate
1552	PWY-5852	PWY-5837	2-carboxy-1,4-naphthoquinol
1553	SAM-PWY	HOMOSER-METSYN-PWY	L-methionine
1554	SAM-PWY	PWY-6153	S-adenosyl-L-methionine
1555	SAM-PWY	HSERMETANA-PWY	L-methionine
1556	SAM-PWY	PWY-6154	S-adenosyl-L-methionine
1557	SAM-PWY	PWY-4361	L-methionine
1558	SAM-PWY	PWY-7174	L-methionine
1559	SAM-PWY	PWY-6627	S-adenosyl-L-methionine
1560	SAM-PWY	PWY-702	L-methionine
1561	SAM-PWY	BSUBPOLYAMSYN-PWY	S-adenosyl-L-methionine
1562	PWY-2381	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate
1563	PWY-2381	P184-PWY	protocatechuate
1564	PWY-2381	P421-PWY	4-nitrobenzoate
1565	P241-PWY	METH-ACETATE-PWY	coenzyme B
1566	P241-PWY	PWY-6830	coenzyme B
1567	P241-PWY	METHANOGENESIS-PWY	coenzyme B
1568	P241-PWY	METHFORM-PWY	coenzyme B
1569	PROSYN-PWY	PWY-7718	L-proline
